1.0,[-1.63982032  0.4316593   0.4316593 ]
2.0,[-1.16635887 -0.00458717 -0.00458717]
3.0,[-1.29569893  0.18021324  0.18021324]
4.0,[-0.87873738 -0.01092188 -0.01092188]
5.0,[-1.3721494  0.2498204  0.2498204]
6.0,[-1.15220004  0.21345325  0.21345325]
7.0,[-1.52952945  0.41346087  0.41346087]
8.0,[-1.17698798  0.06360344  0.06360344]
9.0,[-1.69307546  0.49509002  0.49509002]
10.0,[-1.60142349  0.21852084  0.21852084]
11.0,[-1.77465314  0.63904609  0.63904609]
12.0,[-1.65346843  0.34858325  0.34858325]
13.0,[-1.04991441  0.11800453  0.11800453]
14.0,[-1.49582571  0.16054835  0.16054835]
15.0,[-0.68934336  0.05505064  0.05505064]
16.0,[-1.63783753  0.49560487  0.49560487]
17.0,[-1.49200915  0.34656273  0.34656273]
18.0,[-1.59769487  0.61292257  0.61292257]
19.0,[-1.28753794  0.3165949   0.3165949 ]
20.0,[-1.09901035  0.36181669  0.36181669]
21.0,[-0.85109198  0.08999874  0.08999874]
22.0,[-1.48622442  0.00975435  0.00975435]
23.0,[-1.02865412  0.15901904  0.15901904]
24.0,[-2.43565085  0.51299565  0.51299565]
25.0,[-0.66798725  0.04187699  0.04187699]
26.0,[-0.9514521  -0.06144061 -0.06144061]
27.0,[-1.36476235  0.05249715  0.05249715]
28.0,[-1.50970203  0.216754    0.216754  ]
29.0,[-1.41391862  0.20496658  0.20496658]
30.0,[-1.01279232  0.37653702  0.37653702]
31.0,[-2.30726382  0.43477476  0.43477476]
32.0,[-1.37848656  0.25123208  0.25123208]
33.0,[-1.75936067  0.35999296  0.35999296]
34.0,[-1.05072046 -0.1559402  -0.1559402 ]
35.0,[-1.02523938  0.2409136   0.2409136 ]
36.0,[-0.65365273 -0.23031224 -0.23031224]
37.0,[-1.18005319  0.25456871  0.25456871]
38.0,[-0.80895139  0.06362954  0.06362954]
39.0,[-1.54057494  0.46053747  0.46053747]
40.0,[-1.63475476  0.35162358  0.35162358]
41.0,[-1.52278035  0.33318518  0.33318518]
42.0,[-1.34042318  0.28256119  0.28256119]
43.0,[-1.28117561  0.15606174  0.15606174]
44.0,[-1.15148164  0.1847612   0.1847612 ]
45.0,[-1.27535031  0.11236743  0.11236743]
46.0,[-1.18835233  0.2238144   0.2238144 ]
47.0,[-1.34765131  0.4648866   0.4648866 ]
48.0,[-1.67862906  0.55629915  0.55629915]
49.0,[-1.92292358  0.52077922  0.52077922]
