1.0,[ 0.22398769 -1.09705812]
2.0,[-0.03416348 -1.25565637]
3.0,[-0.17268959 -0.87518908]
4.0,[ 0.24131833 -1.1360414 ]
5.0,[-0.28014511 -1.02943226]
6.0,[-0.21825947 -1.01895322]
7.0,[ 0.11252137 -1.05991851]
8.0,[-0.06283659 -0.76516047]
9.0,[-0.36092424 -0.7121148 ]
10.0,[-0.05829269 -0.92893143]
11.0,[-0.64827023 -0.66118093]
12.0,[-0.21238728 -0.93356398]
13.0,[-0.058104   -1.30802062]
14.0,[ 0.06889515 -0.98981999]
15.0,[ 0.05675838 -1.0825242 ]
16.0,[-0.0538771  -0.99973336]
17.0,[-0.04562445 -1.05520033]
18.0,[ 0.24214311 -1.14975322]
19.0,[ 0.09598771 -1.30520489]
20.0,[-0.18501432 -0.85808784]
21.0,[ 0.1049424  -1.07965587]
22.0,[ 0.1035248  -1.03726205]
23.0,[-0.01999535 -1.03452619]
24.0,[ 0.26734563 -1.22433969]
25.0,[ 0.37816207 -1.07640975]
26.0,[-0.32765012 -0.95323471]
27.0,[ 0.16561778 -1.10821829]
28.0,[-0.30489981 -0.92403189]
29.0,[ 0.20799715 -1.326938  ]
30.0,[-0.03128047 -1.31450826]
31.0,[ 0.04454829 -1.18470528]
32.0,[ 0.01719797 -0.97027389]
33.0,[ 0.09914277 -1.13728001]
34.0,[ 0.18134951 -1.04540889]
35.0,[ 0.10712077 -1.15940066]
36.0,[-0.23842365 -0.82235584]
37.0,[ 0.04627726 -1.03298543]
38.0,[ 0.12358671 -0.94828663]
39.0,[ 0.00714542 -0.94973339]
40.0,[-0.21968352 -0.78281946]
41.0,[-0.02909546 -0.9128438 ]
42.0,[-0.0869369  -0.97977126]
43.0,[-0.12617476 -1.01262141]
44.0,[ 0.14290915 -1.11831176]
45.0,[-0.19362944 -0.89135167]
46.0,[-0.02726202 -1.13797666]
47.0,[-0.11212787 -0.97940536]
48.0,[ 0.06999582 -1.21784794]
49.0,[ 0.09601068 -1.08939278]
