1.0,[-0.07895309 -0.08794274 -0.09072924 -0.06440092 -0.05155027 -0.500361  ]
2.0,[-0.07945768 -0.07610607 -0.08636216 -0.05258734 -0.05902467 -0.09865872]
3.0,[-0.05226674 -0.07512411 -0.07692728 -0.06131039 -0.31433997 -0.11901906]
4.0,[ 0.44431511  0.42406225  0.43577124  0.4448051  -0.57385029 -0.46224515]
5.0,[-0.07108157 -0.06823537 -0.07447759 -0.08417686 -0.58606503 -0.33284461]
6.0,[ 0.39656468  0.41379366  0.40257488  0.4257648  -0.65530181 -0.25641893]
7.0,[-0.08578738 -0.0867624  -0.08124177 -0.08962107 -0.3087035  -0.07537204]
8.0,[ 0.89784793  0.87033769  0.91188249  0.92405609 -0.49489881 -1.09581176]
9.0,[-0.08280343 -0.06091894 -0.07194397 -0.07673479 -0.264467   -0.05133264]
10.0,[-0.07183015 -0.07781189 -0.07529065 -0.06820263 -0.11554357 -0.30444497]
11.0,[-0.09968207 -0.07079249 -0.11008654 -0.08413005 -0.42308287 -0.17096103]
12.0,[ 0.41414462  0.43506586  0.41907313  0.41890341 -0.17054906 -0.78431652]
13.0,[ 0.94609504  0.90269154  0.94007912  0.91337555 -0.09598875 -1.3430158 ]
14.0,[-0.05382842 -0.06605093 -0.06976649 -0.0924548   0.03044701 -0.04755406]
15.0,[-0.06699457 -0.07333394 -0.08809214 -0.07325344  0.12560169 -0.02295946]
16.0,[-0.07553166 -0.05422744 -0.06177312 -0.07305658 -0.03495779 -0.10702054]
17.0,[-0.06629713 -0.060059   -0.08952913 -0.08881928 -0.08929123 -0.20076022]
18.0,[-0.08287761 -0.09256737 -0.08158679 -0.04794014 -0.0557834  -0.15214108]
19.0,[-0.05094989 -0.08094114 -0.10914207 -0.08570903 -0.19161398 -0.17953664]
20.0,[-0.07787018 -0.05390411 -0.0910275  -0.10068143 -0.37200883  0.03683497]
21.0,[-0.07765344 -0.0880091  -0.07325238 -0.06607627  0.03267926 -0.20003196]
22.0,[-0.07861299 -0.09232042 -0.08256747 -0.0638152   0.06827569 -0.40457394]
23.0,[-0.07779073 -0.06630758 -0.09684441 -0.10527502  0.039083    0.04031732]
24.0,[-0.07096744 -0.07712704 -0.09013041 -0.08137018 -0.04383496  0.16772124]
25.0,[-0.08090311 -0.06706736 -0.0636779  -0.07576415 -0.20641823 -0.08429718]
26.0,[-0.07551265 -0.06191194 -0.0675136  -0.06656518 -0.13276691  0.43096908]
27.0,[ 0.9139603   0.90409628  0.93415574  0.89508859 -0.59181532 -0.65321369]
28.0,[-0.07851563 -0.05901352 -0.08700907 -0.08329708 -0.28381873  0.01364111]
29.0,[-0.08916048 -0.07811319 -0.07749954 -0.07128681  0.02722855  0.00273576]
30.0,[ 1.4061336   1.44295092  1.40720439  1.44527333 -1.52278107 -1.10186448]
31.0,[-0.0759983  -0.0794652  -0.08548555 -0.07638707  0.04887075 -0.52389029]
32.0,[-0.10408785 -0.09610808 -0.08160769 -0.07250677 -0.37766047 -0.02117861]
33.0,[-0.06825197 -0.09522091 -0.08228501 -0.07876014 -0.32360902 -0.22001231]
34.0,[-0.06848521 -0.0959921  -0.08968819 -0.0770406   0.03567021  0.04243473]
35.0,[-0.0737679  -0.05973291 -0.08300085 -0.073251    0.03048477 -0.02562847]
36.0,[ 0.4006527   0.40822973  0.42883073  0.4254181  -0.25486573 -0.60367263]
37.0,[-0.05728517 -0.05823362 -0.05777531 -0.06692997  0.15566929 -0.07661992]
38.0,[ 0.4167701   0.42443205  0.40716458  0.40066372 -0.10419299 -0.64427636]
39.0,[-0.08388114 -0.07226558 -0.10304531 -0.08319154 -0.1363185  -0.1391869 ]
40.0,[-0.0929621  -0.10089456 -0.0888313  -0.08934011 -0.22534033 -0.38220692]
41.0,[-0.07376238 -0.09976033 -0.08252057 -0.09011668 -0.08226884 -0.60344732]
42.0,[ 0.44638152  0.43865944  0.41067183  0.43666392 -0.28552608 -0.56293348]
43.0,[ 0.41938471  0.41947469  0.44967746  0.43937224 -0.17509995 -0.66154271]
44.0,[-0.09284385 -0.07705611 -0.08830041 -0.08296915  0.01501181  0.03553311]
45.0,[ 0.93484637  0.94633438  0.92193332  0.94711795 -1.06838306 -0.09717937]
46.0,[-0.10118565 -0.06617174 -0.07144269 -0.08821225 -0.08543901 -0.15044838]
47.0,[ 0.42553755  0.43841433  0.41798625  0.41241869 -0.55268775  0.0385567 ]
48.0,[ 0.89409683  0.93801458  0.93561773  0.93834419 -1.29787011 -0.10167003]
49.0,[-0.10619654 -0.087321   -0.07573522 -0.09326759 -0.15955762 -0.13891567]
